Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
64, Kalimantan Timur ,Daging Sapi Murni,2025,Maret,"Rp156,849"
65, Kalimantan Utara ,Daging Sapi Murni,2025,Maret,"Rp164,333"
71, Sulawesi Utara ,Daging Sapi Murni,2025,Maret,"Rp132,379"
72, Sulawesi Tengah ,Daging Sapi Murni,2025,Maret,"Rp134,258"
73, Sulawesi Selatan ,Daging Sapi Murni,2025,Maret,"Rp124,170"
74, Sulawesi Tenggara ,Daging Sapi Murni,2025,Maret,"Rp136,361"
75, Gorontalo ,Daging Sapi Murni,2025,Maret,"Rp135,204"
76, Sulawesi Barat ,Daging Sapi Murni,2025,Maret,"Rp127,061"
81, Maluku ,Daging Sapi Murni,2025,Maret,"Rp123,298"
82, Maluku Utara ,Daging Sapi Murni,2025,Maret,"Rp133,162"
91, Papua ,Daging Sapi Murni,2025,Maret,"Rp146,974"
92, Papua Barat ,Daging Sapi Murni,2025,Maret,"Rp124,571"
93, Papua Selatan ,Daging Sapi Murni,2025,Maret,-
94, Papua Tengah ,Daging Sapi Murni,2025,Maret,"Rp161,705"
95, Papua Pegunungan ,Daging Sapi Murni,2025,Maret,"Rp170,000"
96, Papua Barat Daya ,Daging Sapi Murni,2025,Maret,"Rp153,015"
11, Aceh ,Daging Ayam Ras,2025,Maret,"Rp30,343"
12, Sumatera Utara ,Daging Ayam Ras,2025,Maret,"Rp33,011"
13, Sumatera Barat ,Daging Ayam Ras,2025,Maret,"Rp35,974"
14, Riau ,Daging Ayam Ras,2025,Maret,"Rp33,165"
15, Jambi ,Daging Ayam Ras,2025,Maret,"Rp34,594"
16, Sumatera Selatan ,Daging Ayam Ras,2025,Maret,"Rp33,645"
17, Bengkulu ,Daging Ayam Ras,2025,Maret,"Rp34,670"
18, Lampung ,Daging Ayam Ras,2025,Maret,"Rp35,661"
19, Kepulauan Bangka Belitung ,Daging Ayam Ras,2025,Maret,"Rp35,561"
21, Kepulauan Riau ,Daging Ayam Ras,2025,Maret,"Rp40,863"
31, DKI Jakarta ,Daging Ayam Ras,2025,Maret,"Rp38,782"
32, Jawa Barat ,Daging Ayam Ras,2025,Maret,"Rp36,865"
33, Jawa Tengah ,Daging Ayam Ras,2025,Maret,"Rp35,994"
34, D.I Yogyakarta ,Daging Ayam Ras,2025,Maret,"Rp34,471"
35, Jawa Timur ,Daging Ayam Ras,2025,Maret,"Rp35,158"
36, Banten ,Daging Ayam Ras,2025,Maret,"Rp37,564"
51, Bali ,Daging Ayam Ras,2025,Maret,"Rp39,943"
52, Nusa Tenggara Barat ,Daging Ayam Ras,2025,Maret,"Rp38,681"
53, Nusa Tenggara Timur ,Daging Ayam Ras,2025,Maret,"Rp43,800"
61, Kalimantan Barat ,Daging Ayam Ras,2025,Maret,"Rp40,592"
62, Kalimantan Tengah ,Daging Ayam Ras,2025,Maret,"Rp41,094"
63, Kalimantan Selatan ,Daging Ayam Ras,2025,Maret,"Rp33,928"
64, Kalimantan Timur ,Daging Ayam Ras,2025,Maret,"Rp39,546"
65, Kalimantan Utara ,Daging Ayam Ras,2025,Maret,"Rp47,643"
71, Sulawesi Utara ,Daging Ayam Ras,2025,Maret,"Rp37,521"
